2026-07-12 16:32:56 | INFO     | gesture_draw | Logging initialized. No frame or biometric data is ever logged.
2026-07-12 16:32:56 | INFO     | gesture_draw | Starting Hand Gesture Drawing application (offline, no network access).
2026-07-12 16:33:03 | ERROR    | gesture_draw | Fatal: Could not open camera index 0 after 5 attempts.
2026-07-12 16:33:03 | INFO     | gesture_draw | Application shut down. Camera released, no frames were persisted.
2026-07-12 16:35:36 | INFO     | gesture_draw | Logging initialized. No frame or biometric data is ever logged.
2026-07-12 16:35:36 | INFO     | gesture_draw | Starting Hand Gesture Drawing application (offline, no network access).
2026-07-12 16:35:45 | INFO     | gesture_draw | Camera 0 opened on attempt 1.
2026-07-12 16:35:54 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:35:55 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:35:56 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:36:00 | INFO     | gesture_draw | Gesture mode changed: DRAW -> ERASE
2026-07-12 16:36:02 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:36:02 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:36:05 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:36:07 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:36:09 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:36:11 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 16:36:16 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 16:36:19 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:36:20 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:36:23 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 16:36:27 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 16:36:39 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 16:36:43 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 16:36:44 | INFO     | gesture_draw | Gesture mode changed: ERASE -> DRAW
2026-07-12 16:36:48 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:36:50 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:36:54 | INFO     | gesture_draw | Gesture mode changed: ERASE -> DRAW
2026-07-12 16:36:58 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 16:37:12 | INFO     | gesture_draw | Window closed by user.
2026-07-12 16:37:12 | INFO     | gesture_draw | Camera released.
2026-07-12 16:37:12 | INFO     | gesture_draw | Application shut down. Camera released, no frames were persisted.
2026-07-12 16:37:17 | INFO     | gesture_draw | Logging initialized. No frame or biometric data is ever logged.
2026-07-12 16:37:17 | INFO     | gesture_draw | Starting Hand Gesture Drawing application (offline, no network access).
2026-07-12 16:37:24 | INFO     | gesture_draw | Camera 0 opened on attempt 1.
2026-07-12 16:37:38 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 16:37:43 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:37:47 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:37:48 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:37:49 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:37:57 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:37:58 | INFO     | gesture_draw | Gesture mode changed: DRAW -> ERASE
2026-07-12 16:37:58 | INFO     | gesture_draw | Gesture mode changed: ERASE -> DRAW
2026-07-12 16:38:01 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:38:05 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:38:06 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:38:11 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:38:13 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:38:22 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 16:39:00 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 16:39:13 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:39:15 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:39:22 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:39:22 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:39:23 | INFO     | gesture_draw | Gesture mode changed: ERASE -> DRAW
2026-07-12 16:39:26 | INFO     | gesture_draw | Gesture mode changed: DRAW -> ERASE
2026-07-12 16:39:27 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:39:28 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:39:29 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:39:29 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:39:31 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:39:32 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:39:40 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 16:39:44 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:39:52 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:39:53 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:39:55 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 16:40:04 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:40:05 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:40:06 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:40:07 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 16:40:08 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 16:40:08 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:40:09 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 16:40:11 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:40:12 | INFO     | gesture_draw | Gesture mode changed: DRAW -> ERASE
2026-07-12 16:40:18 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 16:43:26 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:43:28 | INFO     | gesture_draw | Gesture mode changed: DRAW -> ERASE
2026-07-12 16:43:29 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:43:30 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:43:35 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:43:37 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:43:42 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:43:46 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:43:49 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:43:50 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:43:53 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 16:43:54 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 16:43:56 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 16:43:58 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 16:43:58 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 16:44:39 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:44:44 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:44:48 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:44:52 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 16:44:55 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:44:57 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:44:58 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:45:00 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:45:01 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:45:04 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:45:05 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:45:06 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:45:08 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:45:15 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:45:16 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 16:45:21 | INFO     | gesture_draw | Window closed by user.
2026-07-12 16:45:22 | INFO     | gesture_draw | Camera released.
2026-07-12 16:45:22 | INFO     | gesture_draw | Application shut down. Camera released, no frames were persisted.
2026-07-12 16:48:52 | INFO     | gesture_draw | Logging initialized. No frame or biometric data is ever logged.
2026-07-12 16:48:52 | INFO     | gesture_draw | Starting Hand Gesture Drawing application (offline, no network access).
2026-07-12 16:48:58 | INFO     | gesture_draw | Camera 0 opened on attempt 1.
2026-07-12 16:49:01 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 16:49:03 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 16:49:05 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 16:49:10 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:49:12 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:49:17 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:49:24 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 16:49:25 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:49:27 | INFO     | gesture_draw | Gesture mode changed: DRAW -> ERASE
2026-07-12 16:49:39 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 16:49:41 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:49:45 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:49:46 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 16:49:48 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 16:49:48 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 16:49:50 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:49:54 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 16:49:55 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 16:49:55 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 16:50:03 | INFO     | gesture_draw | Window closed by user.
2026-07-12 16:50:04 | INFO     | gesture_draw | Camera released.
2026-07-12 16:50:04 | INFO     | gesture_draw | Application shut down. Camera released, no frames were persisted.
2026-07-12 19:04:24 | INFO     | gesture_draw | Logging initialized. No frame or biometric data is ever logged.
2026-07-12 19:04:24 | INFO     | gesture_draw | Starting Hand Gesture Drawing application (offline, no network access).
2026-07-12 19:04:31 | INFO     | gesture_draw | Camera 0 opened on attempt 1.
2026-07-12 19:04:34 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 19:04:35 | INFO     | gesture_draw | Gesture mode changed: ERASE -> NONE
2026-07-12 19:04:36 | INFO     | gesture_draw | Gesture mode changed: NONE -> ERASE
2026-07-12 19:04:37 | INFO     | gesture_draw | Gesture mode changed: ERASE -> DRAW
2026-07-12 19:04:38 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 19:04:38 | INFO     | gesture_draw | Gesture mode changed: NONE -> DRAW
2026-07-12 19:04:39 | INFO     | gesture_draw | Gesture mode changed: DRAW -> NONE
2026-07-12 19:04:43 | INFO     | gesture_draw | Gesture mode changed: NONE -> IDLE
2026-07-12 19:04:53 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 19:04:59 | INFO     | gesture_draw | Gesture mode changed: ERASE -> DRAW
2026-07-12 19:05:00 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:05:01 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 19:05:02 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:05:06 | INFO     | gesture_draw | Gesture mode changed: IDLE -> ERASE
2026-07-12 19:05:07 | INFO     | gesture_draw | Gesture mode changed: ERASE -> IDLE
2026-07-12 19:05:10 | INFO     | gesture_draw | Gesture mode changed: IDLE -> DRAW
2026-07-12 19:05:12 | INFO     | gesture_draw | Gesture mode changed: DRAW -> IDLE
2026-07-12 19:05:21 | INFO     | gesture_draw | Gesture mode changed: IDLE -> NONE
2026-07-12 19:05:34 | INFO     | gesture_draw | Canvas cleared by user.
2026-07-12 19:05:34 | INFO     | gesture_draw | Canvas cleared by user.
2026-07-12 19:05:35 | INFO     | gesture_draw | Canvas cleared by user.
